,hash_id,post_count,comment_count
42,060a9999b4ae695144aca46e9d292fa4,9,1
43,0618bd3a9a46bba4f95523386f89a082,1,0
44,06204ed086daface2fc3d7794f59be83,0,2
45,0627d84942b50cefd3e4e2471e4be586,1,0
46,064dce32df295966e3e51741db6736dc,11,17
47,065eb9a2e9e5bbf8ef5c9477e5a49c42,3,1
48,06609309e214b3fd65c2f764fd8609a8,1,1
49,0674afeb35346f5c90b9bc00914417e6,0,2
50,069107affe93db3efa99b7f0ee7a20d4,0,1
51,06c076de3e52e2b6b98c692e38592fec,0,1
52,06dc469b70f8515f56d5a85f158d2db2,1,0
53,0712a1443b78db3c3fba3e626ff722a8,0,2
54,071e902dae96124b7fd8f1ec1bf6ac27,0,1
55,07b97565f809deac59180b52c2854ac8,0,1
56,07cd46a4fbf734da7d7e00d612408f66,0,6
57,07fe52050102c1c6da3d60c416e7b306,0,1
58,0813ab612797a8d029904889226ae94d,1,19
59,081cc8a963c5f4dd9dbb2203a18afaf7,0,1
60,08447e0ffe16d300292e1de4c65ca4ea,0,1
61,085cd927dcc648d4a23eacaf6a8ae399,0,1
62,0886a1158ed98f3bc9b377e24a65ba42,0,1
63,089ba615768512f6cb28487a9f832ec4,1,0
64,09008a9c2e06b978bdffe3ca29beb6c2,0,1
65,091898c5354476668bced498a5514e24,0,1
66,0939c01db0fc092ba17f68e5677db071,0,33
67,09698eabfd8310b6db9e7ec34d6a76cc,1,0
68,09728f59e46f8d78d0e25b926d78e829,0,1
69,09837a860a8af5b6f0f9f6c6a44a60a6,0,1
70,0997368c7531b06b1850bcba86c9da68,0,2
71,09e42c13f0382f0713d6d7d48729d61f,7,2
72,0a1bfc6f3fd8e909c70cc8a460b0b321,1,5
73,0a3d1b6d05f827b9641edd78eda9c4e6,0,1
74,0a4269376a2db0d697a1e70c3307dc0e,0,4
75,0a46f6a13d701ad4e0b7c10cef9d718c,0,1
76,0a4d084b88e00652783d6098d3a1d725,0,5
77,0a5d4523a7fa9050d5f69fd7d26702e2,0,6
78,0a7e413cbd057d648e1add7fe6f23dd9,0,1
79,0ab1540b98d250e71567d7cd2add92b5,0,1
80,0ae260e607caf81c073d1dfc9dcf8fb1,1,0
81,0ae476b63f2f93c0018b622e35c3fdb4,0,1
82,0af957f01378f5a6d93c7f1024e7feb3,0,1
83,0b06ff17720ea4135503bba926e5fdf0,0,1
84,0b0bda09b34df3ee2a1a58f892ce8634,0,1
85,0b13349e980fb915fb274a2f24986f57,1,0
86,0b32508bcbfd8dc9c5a6bd83df95e732,0,1
87,0b3e7de4894b4db83c7e59bdccd30131,1,10
88,0b3f48ada69a3f6f6b5925d0c75bf93d,0,1
89,0b483e07ded7a6ea5312d52e072cdd26,0,2
90,0b566b8918004d5deccf2f5d275d9c4c,0,1
91,0b5dbf16df4b893413f69314376cdf4c,0,3
