,document,spac_doc,token_doc
2982,좋습니다 아주 짱짱하고 원에 시원하고 사줬는데 사이즈 미쳤네요아들 따뜻하고 넉넉하니,좋습니다 아주 짱짱하고 원에 시원하고 사줬는데 사이즈 미쳤네요아들 따뜻하고 넉넉하니,"['좋다', '아주', '짱짱하다', '시원하다', '사주다', '사이즈', '미치다', '아들', '따뜻하다', '넉넉하다']"
2983,최고 해야 편하게 최소 착한가격에 착용가능할거 업이상 실외화로도 실내화로도 사이즈는,최고 해야 편하게 최소 착한 가격에 착용 가능할 거 업이상 실외화로도 실내 화로도 사이즈는,"['최고', '편하다', '착하다', '가격', '착용', '가능하다', '화로', '실내', '화로', '사이즈']"
2984,포인트 좋아요 있어요무난하게 입을듯 팔쪽에 빈티지 되고 멋있고 반다나 블랙,포인트 좋아요 있어요무난하게 입을 듯 팔 쪽에 빈티지 되고 멋있고 반다나 블랙,"['포인트', '좋다', '무난', '빈티', '블랙']"
2985,회색을 한번 제일 입게되네요 역시 세탁했을때 사진입니다 사진이 변형없엇어요 많이,회색을 한 번 제일 입게 되네요 역시 세탁했을 때 사진입니다 사진이 변형 없엇어요 많이,"['회색', '입다', '세탁', '사진', '사진', '변형']"
2986,좋다고 잘쓸게요 선물할려구 만족하네요 너무 구매했어요,좋다고 잘 쓸게요 선물할려구 만족하네요 너무 구매했어요,"['좋다', '자다', '쓸다', '선물', '만족하다', '구매']"
2987,한참 핏은 좋은데 예약배송일 아쉽네요 보다 받았습니다 늦게,한참 핏은 좋은데 예약 배송 일 아쉽네요 보다 받았습니다 늦게,"['좋다', '예약', '배송', '아쉽다', '늦다']"
2988,굿굿 실물이더이뻐요 너무좋아요 계속구매할께요 추울때항상입습니다 착감도너무좋아요 잘어울리고 아무대나 좋은가격으로 제품인데,굿굿 실물이 더 이뻐 요 너무 좋아요 계속 구매 할께 요 추울 때 항상 입습니다 착감도 너무 좋아요 잘 어울리고 아무대나 좋은 가격으로 제품인데,"['굿굿', '실물', '예쁘다', '좋다', '구매', '추다', '항상', '감다', '좋다', '자다', '어울리다', '아무', '좋다', '가격', '제품']"
2989,호불호가 포켓 저는 마음에들어요 디테일이 같네요 갈릴,호불호가 포켓 저는 마음에 들어 요 디테일이 같네요 갈릴,"['포켓', '마음', '디테일']"
2990,휘두르면 큽니다 진짜 진리고 사랑이고 무기에요 대박 그렇죠 ㅎㅎ보라색은 ㅎㅎ,휘두르면 큽니다 진짜 진리 고 사랑이 고 무기에 요 대박 그렇죠 ㅎㅎ 보라색은 ㅎㅎ,"['크다', '사랑', '대박', '보라색']"
2991,좋아요 색상도좋고 어디든잘어울려서 발도편하고 세탁기로 운동할때나 예쁘네요따뜻하고 어글리슈즈입니다오버하고 아니먄 씁니다,좋아요 색상도 좋고 어디든 잘 어울려서 발도 편하고 세탁기로 운동할 때나 예쁘네요 따뜻하고 어 글리슈즈입니다오버하고 아니먄 씁니다,"['좋다', '색상', '좋다', '자다', '어울리다', '발도', '편하다', '세탁기', '운동', '예쁘다', '따뜻하다', '오버', '쓰다']"
2992,좋고 색감도 사이즈 안살까요 때문인가ㅎ 미키마우스 가격 좋은데 어울리꺼 잘입을께요,좋고 색감도 사이즈 안 살까요 때문인가ㅎ 미키마우스 가격 좋은데 어울리꺼 잘 입을께요,"['좋다', '색감', '사이즈', '살다', '가격', '좋다', '어울리다', '자다']"
2993,너무 화이트 오버핏에 깔끔한 드디어 크지않은 셔츠를 찾고있었는데 찾았네요 워싱이,너무 화이트 오버핏에 깔끔한 드디어 크지 않은 셔츠를 찾고 있었는데 찾았네요 워싱이,"['화이트', '오버핏', '깔끔하다', '드디어', '크다', '셔츠', '찾다', '찾다', '워싱']"
2994,헤어집게입니다 찍히네요 지문이 적합합니다 유광플라스틱이라 사용하기 무난한 데일리로,헤어집게입니다 찍히네요 지문이 적합합니다 유광플라스틱이라 사용하기 무난한 데일리로,"['찍히다', '사용', '무난', '일리']"
2995,힘들었는데 드는 부분만 받았을 미세한 만족감이 마음에 마감 때마다 달라,힘들었는데 드는 부분만 받았을 미세한 만족감이 마음에 마감 때마다 달라,"['힘들다', '마음', '마감', '달라']"
2996,포인트용 팬츠로 있습니다 사용하고 맘에 드네요,포인트용 팬츠로 있습니다 사용하고 맘에 드네요,"['포인트', '팬츠', '사용', '드네']"
2997,같아요 아주 한치수 좋아요 다음에는 뒷판 사야할 적정할게 운동하기 가슴,같아 요 아주 한 치수 좋아요 다음에는 뒷판 사야 할 적정할 게 운동하기 가슴,"['아주', '치수', '좋다', '사다', '운동', '가슴']"
2998,맘에 후드도구매해봤는대 후드 파란색 이라 예쁘고 역시나 여유로운 선명하니 색감,맘에 후드 도 구매해봤는 대 후드 파란색 이라 예쁘고 역시나 여유로운 선명하니 색감,"['후드', '구매', '해봤다', '후드', '파란색', '이르다', '예쁘다', '여유', '로운', '선명하다', '색감']"
2999,만족합니다 사이즈도 재질은아주좋아요 컬러감도 세미오버로골라 올리브연두에요 부드럽구요 빈티한감물씬한 편하고 자연스러운,만족합니다 사이즈도 재질은 아주 좋아요 컬러감도 세미오버로 골라 올리브 연두에 요 부드럽 구요 빈티한 감물씬한 편하고 자연스러운,"['만족하다', '사이즈', '재질', '아주', '좋다', '컬러', '감다', '세미', '오버', '고르다', '올리브', '부드럽다', '구요', '빈티', '편하다', '자연스럽다']"
3000,좋아요 여러모로 없어요 세탁후 변형도 바지 깔끔하고 귀엽네요치마,좋아요 여러모로 없어요 세탁 후 변형도 바지 깔끔하고 귀엽네요치마,"['좋다', '모로', '세탁', '변형도', '바지', '깔끔하다', '귀엽다', '치마']"
3001,좋네요 조금 디자인 나왔어요 깔끔하고 길게 기장이,좋네요 조금 디자인 나왔어요 깔끔하고 길게 기장이,"['좋다', '디자인', '깔끔하다', '길다', '기장']"
3002,호인데 프린트가 봤는데 무신사입니다ㅎㅎ제가 무신사 무드에 머리크기가 맞아요 레터링 들어가,호인데 프린트가 봤는데 무신사입니다ㅎㅎ 제가 무신사 무드에 머리 크기가 맞아요 레터링 들어가,"['프린트', '물다', '물다', '무드', '머리', '크기', '맞다', '레터링', '들어가다']"
3003,정사이즈로 적당하고 작은 입을거라 입었을때 이뻐요 두께감 다른곳보다 느낌이지만 깔끔하고,정 사이즈로 적당하고 작은 입을 거라 입었을 때 이 뻐요 두께감 다른 곳보다 느낌이지만 깔끔하고,"['사이즈', '적당하다', '작다', '입다', '두께', '느낌', '깔끔하다']"
3004,포장 잘되서 왔어요할인해서 신을게요 받으니 깔끔하게 기쁨두배네요잘,포장 잘되서 왔어요 할인해서 신을 게요 받으니 깔끔하게 기 쁨 두 배네요잘,"['포장', '할인', '게요', '깔끔하다', '자다']"
3005,커보이는것같아요 착화감은 좋아요앞에서 생각했던것보다 보면 발이,커 보이는 것 같아요 착화감은 좋아요 앞에서 생각했던 것보다 보면 발이,"['크다', '감다', '좋다', '생각']"
3006,향은 정도이고 은은하게 세정력도 나는 괜찮습니다,향은 정도이고 은은하게 세정력도 나는 괜찮습니다,"['은은하다', '정력', '괜찮다']"
3007,아주 입기 기본티로 좋아요세탁 변형 없어요배송 빨라요 아우터 맘에듭니다 모두,아주 입 기 기본 티로 좋아 요세탁 변형 없어 요배송 빨라요 아우터 맘에 듭니다 모두,"['아주', '기본', '좋다', '세탁', '변형', '배송', '빠르다', '아우', '듭니']"
3008,이뻐요 이가격에 저렴하기 아니예요그러나 이정도로 못했어요부자재 하나하나 그지없네요솔직히 별로일줄은 색감은,이 뻐요 이 가격에 저렴하기 아니예요 그러나 이 정도로 못했어요 부자재 하나하나 그지없네요 솔직히 별로 일 줄은 색감은,"['가격', '저렴하다', '솔직하다', '별로', '색감']"
3009,좋은 퀄리티 그냥 요즘 와이드하게 핏이라 소화시키기 나오는 느낌이에요 와이드핏,좋은 퀄리티 그냥 요즘 와이드하게 핏이라 소화시키기 나오는 느낌이에요 와이드핏,"['좋다', '퀄리티', '요즘', '와이드', '소화', '느낌', '와이드']"
3010,하지만 예쁜 들고 라인을 마음에 만족합니다 소재가 아방하니 없고 예일의,하지만 예쁜 들고 라인을 마음에 만족합니다 소재가 아방하니 없고 예일의,"['예쁘다', '라인', '마음', '만족하다', '소재']"
3011,입으면 가디건이네요 예쁠것같은 남자분들이 정핏으로 간절기 더울 될거같아요 두께가 맘에들어서,입으면 가디건이네요 예쁠 것 같은 남자분들이 정핏으로 간절기 더울 될 거 같아 요 두께가 맘에 들어서,"['입다', '가디건', '예쁘다', '남자', '분들', '정핏', '간절', '덥다', '두께', '들어서다']"
3012,색상은 느낌이 핏이랑 듭니다 강했는데 구매했습니다 그래도 느껴지네요 다른 마음에,색상은 느낌이 핏이랑 듭니다 강했는데 구매했습니다 그래도 느껴지네요 다른 마음에,"['색상', '느낌', '듭니', '강하다', '구매', '느껴지다', '마음']"
3013,진짜 평범해서 티셔츠랑 적당하고 잘어울려요 잇템인 이쁘네요 아이입니다 마르디 단지짱,진짜 평범해서 티셔츠랑 적당하고 잘 어울려 요 잇템인 이쁘네요 아이입니다 마르디 단지짱,"['평범하다', '티셔츠', '적당하다', '자다', '어울리다', '예쁘다', '마르다']"
3014,좋네요 부드럽고 재질도 샀어요 가장 슬랙스 기본템이라서 와이드한 옷감도 짧은기장이랑,좋네요 부드럽고 재질도 샀어요 가장 슬랙스 기본템이라서 와이드 한 옷감도 짧은 기장이랑,"['좋다', '부드럽다', '재질', '사다', '슬랙스', '이라서', '와이드', '옷감', '짧다', '기장']"
3015,바지가 저테 맞았어요 두꺼운편이고 기장은 작아서 입을때 엉덩이 솔직히 그래요,바지가 저테 맞았어요 두꺼운 편이고 기장은 작아서 입을 때 엉덩이 솔직히 그래요,"['바지', '맞다', '두껍다', '편이', '기장', '작다', '엉덩이', '솔직하다']"
3016,크지도 적당히 이쁜 않고 블라우스에요 떨어져서 너무,크지도 적당히 이쁜 않고 블라우스에 요 떨어져서 너무,"['크다', '적당하다', '예쁘다', '떨어지다']"
3017,예쁘고 합니다색도 재구매 만족해요 발립니다아주 없이 각질부각 주름끼임 자체는 안입었지만,예쁘고 합니다색도 재구매 만족해요 발립니다아주 없이 각질 부각 주름끼임 자체는 안 입었지만,"['예쁘다', '색도', '만족하다', '부각', '주름', '입다']"
