,user_id,keywords_by_frequency,keywords_by_similarity
217,1038485,예쁘다 좋다 사다,예쁘다 생각 코디
218,103rmv,사이즈 좋다 적당하다,생각 쓰다 귀엽다
219,10639,좋다 입다 깔끔하다,생각 쓰다 귀엽다
220,107T,좋다 원단 최고,좋다 만족스럽다 생각
221,108945632,예쁘다 자다 좋다,생각 코디 쓰다
222,108호,좋다 예쁘다 입다,생각 코디 만족스럽다
223,1092828,좋다 생각 괜찮다,생각 코디 쓰다
224,10J,좋다 입다 편하다,생각 코디 만족스럽다
225,10V2U2,예쁘다 좋다 디자인,생각 코디 귀엽다
226,10_16,좋다 입다 신다,생각 코디 귀엽다
227,10chang,예쁘다 자다 구매,귀엽다 예쁘다 생각
228,10stone,마음 듭니 자다,마음 만족스럽다 쓰다
229,10년차 몬베베,예쁘다 좋다 자다,생각 코디 쓰다
230,10분거리,자다 좋다 다니다,무난 쓰다 생각
231,10우,좋다 편하다 아무,생각 만족스럽다 코디
232,10월마지막밤,추천 구입 최고,추천 쓰다 귀엽다
233,11.10kg,좋다 느낌 입다,코디 느낌 쓰다
234,11024,좋다 사이즈 자다,생각 사다 쓰다
235,110283,좋다 가격 배송,좋다 귀엽다 생각
236,111019,좋다 자다 사이즈,쓰다 코디 생각
237,1111112비,자다 좋다 입다,쓰다 사다 귀엽다
238,111134별,좋다 구매 자다,쓰다 코디 생각
239,1111sq,느낌 좋다 살짝,생각 느낌 코디
240,1123123,좋다 자다 구매,사다 쓰다 코디
241,11300_,좋다 입다 크다,쓰다 생각 귀엽다
242,113355,좋다 자다 입다,귀엽다 사다 생각
243,11382321,좋다 배송 빠르다,귀엽다 생각 쓰다
244,1165대장,좋다 에도 살다,좋다 생각 만족스럽다
245,119-,좋다 디자인 사다,사다 쓰다 코디
246,119EMT,좋다 사이즈 아주,생각 코디 쓰다
247,11ㄱ11,좋다 맞다 입다,쓰다 코디 생각
248,11ㄴ11,예쁘다 입다 좋다,코디 생각 느낌
249,11시5분,좋다 자다 재질,사다 생각 쓰다
250,11월.,좋다 여름 얇다,좋다 생각 살짝
251,12*one,좋다 재질 입다,생각 코디 사다
252,1212413,파다 좋다 사다,사다 코디 쓰다
253,121299,좋다 입다 믿다,생각 사다 코디
254,1212gangang,좋다 입다 색감,생각 쓰다 만족스럽다
255,121548,좋다 예쁘다 입다,귀엽다 사다 코디
256,1215원,입다 좋다 사이즈,생각 쓰다 귀엽다
257,122221,마음 좋다 사이즈,마음 생각 코디
258,1226무,좋다 배송 빠르다,좋다 귀엽다 만족스럽다
259,122801,예쁘다 좋다 생각,생각 쓰다 코디
260,123013,좋다 제품 사이즈,생각 만족스럽다 코디
261,123123123141551,좋다 입다 편하다,생각 쓰다 사다
262,1231kg,좋다 가격 자다,좋다 사다 생각
263,123311w,좋다 편하다 만족,생각 쓰다 코디
264,12345432,좋다 사다 예쁘다,사다 코디 생각
265,123456788,입다 좋다 자다,생각 쓰다 귀엽다
266,123456no,좋다 예쁘다 입다,생각 코디 쓰다
267,12356,좋다 두께 살짝,생각 코디 사다
268,123947,좋다 자다 가격,쓰다 생각 귀엽다
269,123o,예쁘다 입다 다니다,사다 코디 쓰다
270,123ㄱㄴㄷ456,좋다 배송 디자인,귀엽다 쓰다 생각
271,123오잉,좋다 구매 귀엽다,귀엽다 쓰다 생각
272,12503,좋다 얇다 가격,쓰다 사다 귀엽다
273,12gergima,좋다 구매 사다,사다 생각 코디
274,12qwe34,좋다 배송 사이즈,만족스럽다 생각 귀엽다
275,12swoo,좋다 입다 다니다,생각 살짝 쓰다
276,12ㄱㅎ21,입다 자다 예쁘다,생각 코디 쓰다
277,12다비,좋다 입다 자다,쓰다 코디 생각
278,131312,사다 좋다 고민,사다 코디 귀엽다
279,1356622,입다 좋다 겨울,생각 코디 쓰다
280,13R,좋다 예쁘다 생각,생각 코디 쓰다
281,13dmsgh,예쁘다 색감 입다,코디 생각 예쁘다
282,140284,좋다 입다 재질,생각 쓰다 만족스럽다
283,141018,좋다 편하다 자다,코디 쓰다 생각
284,14202,예쁘다 입다 좋다,생각 코디 만족스럽다
285,14632,좋다 예쁘다 합리,만족스럽다 귀엽다 쓰다
286,148cm도 어른이야,좋다 자다 예쁘다,쓰다 코디 생각
287,1495.,예쁘다 좋다 입다,생각 코디 귀엽다
288,14IS,좋다 추천 저렴하다,코디 생각 쓰다
289,15151ja,좋다 디자인 가격,쓰다 사다 귀엽다
290,1515호,좋다 입다 예쁘다,코디 생각 쓰다
291,153620e3,좋다 사이즈 강추,귀엽다 좋다 생각
292,15922951,좋다 입다 사이즈,생각 사다 코디
293,159875,좋다 예쁘다 적당하다,예쁘다 생각 코디
294,15hyun,예쁘다 입다 좋다,코디 생각 사다
295,15지현이,좋다 티셔츠 바지,생각 쓰다 코디
296,160819,좋다 사다 예쁘다,생각 사다 쓰다
297,16247,입다 사다 좋다,사다 코디 생각
298,164875,좋다 예쁘다 입다,코디 사다 귀엽다
