,hash_id,post_count,comment_count
42,048fef0362b59d7462c0b10aefdd1310,0,1
43,04bcf8c7b4e22f8d986b56d21365a28c,0,1
44,04c08c497d9432f62cf242c19c4ef5e4,0,2
45,04c95da8cebd7777df0d95689c9addf6,1,0
46,04fa027cc6ef9703b2f13e2239523fb3,1,0
47,05d21ea20ebb0941596a203b31da10ad,0,3
48,0606db6a4e953b7d8a4d58cb442b340c,0,1
49,060a0b5cfa89ebb68ad955bf962ce5a7,0,1
50,060a9999b4ae695144aca46e9d292fa4,9,1
51,0618bd3a9a46bba4f95523386f89a082,1,0
52,06204ed086daface2fc3d7794f59be83,0,2
53,0627d84942b50cefd3e4e2471e4be586,1,0
54,064dce32df295966e3e51741db6736dc,11,23
55,0654f8bcbbe8ec487d4a00586b354300,0,1
56,065eb9a2e9e5bbf8ef5c9477e5a49c42,3,1
57,06609309e214b3fd65c2f764fd8609a8,1,1
58,0674afeb35346f5c90b9bc00914417e6,0,2
59,067fa0e0e9eb90659f4714c5cfcd4eb7,0,1
60,068a0cd61f26f3f11f630ce4a609fbaf,0,3
61,069107affe93db3efa99b7f0ee7a20d4,0,1
62,06c076de3e52e2b6b98c692e38592fec,0,1
63,06dc469b70f8515f56d5a85f158d2db2,1,0
64,0712a1443b78db3c3fba3e626ff722a8,0,2
65,071e902dae96124b7fd8f1ec1bf6ac27,0,1
66,0758d7bbb4272a8c14b452066930fa10,0,1
67,07766ed3f6d51bf6986f5a4613f50b76,0,1
68,078ec5dd09778a08d095d0ea8abc05bf,0,7
69,07b97565f809deac59180b52c2854ac8,0,1
70,07bc3b0fd976544eec5a2751c36f8518,0,3
71,07cd46a4fbf734da7d7e00d612408f66,0,6
72,07fe52050102c1c6da3d60c416e7b306,0,2
73,0813ab612797a8d029904889226ae94d,1,19
74,081cc8a963c5f4dd9dbb2203a18afaf7,0,1
75,08447e0ffe16d300292e1de4c65ca4ea,0,1
76,085cd927dcc648d4a23eacaf6a8ae399,0,1
77,085f1826b5e5f4388d7c418d9a3d7d1e,0,1
78,0886a1158ed98f3bc9b377e24a65ba42,0,1
79,089ba615768512f6cb28487a9f832ec4,1,0
80,08a61a9300e3975e02439974dedab0c1,0,1
81,09008a9c2e06b978bdffe3ca29beb6c2,0,1
82,091898c5354476668bced498a5514e24,0,1
83,0923d4f044b5dac8d899ca23cf97c2b1,0,2
84,0939c01db0fc092ba17f68e5677db071,0,42
85,09698eabfd8310b6db9e7ec34d6a76cc,1,0
86,096ef846a3d51663cc1ec1ee9543550e,0,3
87,09728f59e46f8d78d0e25b926d78e829,0,1
88,09837a860a8af5b6f0f9f6c6a44a60a6,0,1
89,0997368c7531b06b1850bcba86c9da68,0,2
90,09ae617cb779cb7bd1b318d55cf30e11,0,1
91,09e42c13f0382f0713d6d7d48729d61f,7,2
